job_title,company,url
Full-stack Tech Lead,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844105&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Presales Solution Architect,Wiz Technologies (s) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600815&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Itconnectus Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5606906&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5500406&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
AWS Cloud Operations Engineer,Oliver James Associates (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602350&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5606000&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
DevOps Engineer,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=4540452&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Technical Sales Specialist [ 5 Days | Up to $3500 | Mattar MRT | Life Science Products Industry ] - 5685,The Supreme Hr Advisory Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5283837&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Full Stack Developer,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844104&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Java Developer,K2 Partnering Solutions Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5596107&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
22422783 SOC Advanced Cyber Defense Analyst (AVP),Citibank N.a.,https://www.monster.com.sg/seeker/job-details?id=5597763&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Amazon Connect Specialty Consultant,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5599958&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Lead Agile Delivery Consultant,Sourced (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600106&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5605997&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Solutions Architect - Azure / AWS,Randstad Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5608610&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Sales Representative, Small/Medium Businesses, Google Cloud - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5560449&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Amaris Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5363292&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Staff Backend Engineer, APAC",Delivery Hero Apac Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5599826&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Principal Solutions Consultant - Enterprise Information Management Solutions,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600194&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Bid Support Engineer,Aluminium Offshore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602133&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Account Executive, Vietnam",Salesforce.com Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5598327&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Solution Architect,Rackspace Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4596208&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Immediately hiring Fresh Graduates & Mid-careerists - Cloud Engineers (Infrastructure),Hays Specialist Recruitment Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5010051&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Account Executive- SEA - Public Sector & Strategic Accounts,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600196&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
IS Cloud Applications Services Specialist,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600199&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Full-stack Tech Lead,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844105&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Presales Solution Architect,Wiz Technologies (s) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600815&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Itconnectus Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5606906&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5500406&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
AWS Cloud Operations Engineer,Oliver James Associates (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602350&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5606000&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
DevOps Engineer,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=4540452&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Technical Sales Specialist [ 5 Days | Up to $3500 | Mattar MRT | Life Science Products Industry ] - 5685,The Supreme Hr Advisory Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5283837&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Full Stack Developer,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844104&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Java Developer,K2 Partnering Solutions Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5596107&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
22422783 SOC Advanced Cyber Defense Analyst (AVP),Citibank N.a.,https://www.monster.com.sg/seeker/job-details?id=5597763&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Amazon Connect Specialty Consultant,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5599958&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Lead Agile Delivery Consultant,Sourced (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600106&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5605997&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Solutions Architect - Azure / AWS,Randstad Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5608610&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Sales Representative, Small/Medium Businesses, Google Cloud - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5560449&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Amaris Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5363292&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Staff Backend Engineer, APAC",Delivery Hero Apac Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5599826&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Principal Solutions Consultant - Enterprise Information Management Solutions,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600194&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Bid Support Engineer,Aluminium Offshore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602133&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Account Executive, Vietnam",Salesforce.com Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5598327&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Solution Architect,Rackspace Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4596208&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Immediately hiring Fresh Graduates & Mid-careerists - Cloud Engineers (Infrastructure),Hays Specialist Recruitment Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5010051&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Account Executive- SEA - Public Sector & Strategic Accounts,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600196&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
IS Cloud Applications Services Specialist,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600199&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Full-stack Tech Lead,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844105&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Presales Solution Architect,Wiz Technologies (s) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600815&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Itconnectus Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5606906&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5500406&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
AWS Cloud Operations Engineer,Oliver James Associates (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602350&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5606000&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
DevOps Engineer,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=4540452&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Technical Sales Specialist [ 5 Days | Up to $3500 | Mattar MRT | Life Science Products Industry ] - 5685,The Supreme Hr Advisory Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5283837&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Full Stack Developer,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844104&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Java Developer,K2 Partnering Solutions Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5596107&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
22422783 SOC Advanced Cyber Defense Analyst (AVP),Citibank N.a.,https://www.monster.com.sg/seeker/job-details?id=5597763&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Amazon Connect Specialty Consultant,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5599958&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Lead Agile Delivery Consultant,Sourced (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600106&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5605997&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Solutions Architect - Azure / AWS,Randstad Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5608610&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Sales Representative, Small/Medium Businesses, Google Cloud - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5560449&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Amaris Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5363292&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Staff Backend Engineer, APAC",Delivery Hero Apac Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5599826&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Principal Solutions Consultant - Enterprise Information Management Solutions,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600194&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Bid Support Engineer,Aluminium Offshore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602133&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Account Executive, Vietnam",Salesforce.com Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5598327&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Solution Architect,Rackspace Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4596208&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Immediately hiring Fresh Graduates & Mid-careerists - Cloud Engineers (Infrastructure),Hays Specialist Recruitment Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5010051&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Account Executive- SEA - Public Sector & Strategic Accounts,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600196&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
IS Cloud Applications Services Specialist,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600199&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Full-stack Tech Lead,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844105&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Presales Solution Architect,Wiz Technologies (s) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600815&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Itconnectus Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5606906&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5500406&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
AWS Cloud Operations Engineer,Oliver James Associates (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602350&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5606000&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
DevOps Engineer,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=4540452&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Technical Sales Specialist [ 5 Days | Up to $3500 | Mattar MRT | Life Science Products Industry ] - 5685,The Supreme Hr Advisory Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5283837&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Full Stack Developer,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844104&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Java Developer,K2 Partnering Solutions Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5596107&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
22422783 SOC Advanced Cyber Defense Analyst (AVP),Citibank N.a.,https://www.monster.com.sg/seeker/job-details?id=5597763&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Amazon Connect Specialty Consultant,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5599958&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Lead Agile Delivery Consultant,Sourced (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600106&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5605997&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Solutions Architect - Azure / AWS,Randstad Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5608610&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Sales Representative, Small/Medium Businesses, Google Cloud - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5560449&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Amaris Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5363292&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Staff Backend Engineer, APAC",Delivery Hero Apac Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5599826&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Principal Solutions Consultant - Enterprise Information Management Solutions,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600194&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Bid Support Engineer,Aluminium Offshore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602133&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Account Executive, Vietnam",Salesforce.com Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5598327&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Solution Architect,Rackspace Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4596208&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Immediately hiring Fresh Graduates & Mid-careerists - Cloud Engineers (Infrastructure),Hays Specialist Recruitment Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5010051&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior Account Executive- SEA - Public Sector & Strategic Accounts,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600196&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
IS Cloud Applications Services Specialist,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600199&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Full-stack Tech Lead,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844105&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Presales Solution Architect,Wiz Technologies (s) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600815&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Itconnectus Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5606906&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5500406&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
AWS Cloud Operations Engineer,Oliver James Associates (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602350&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5606000&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
DevOps Engineer,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=4540452&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Technical Sales Specialist [ 5 Days | Up to $3500 | Mattar MRT | Life Science Products Industry ] - 5685,The Supreme Hr Advisory Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5283837&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Full Stack Developer,Sygnum Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=4844104&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Java Developer,K2 Partnering Solutions Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5596107&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
22422783 SOC Advanced Cyber Defense Analyst (AVP),Citibank N.a.,https://www.monster.com.sg/seeker/job-details?id=5597763&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Amazon Connect Specialty Consultant,Amazon Web Services Singapore Private Limited,https://www.monster.com.sg/seeker/job-details?id=5599958&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Lead Agile Delivery Consultant,Sourced (singapore) Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600106&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Senior JAVA Developer,Unisoft Infotech Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5605997&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Solutions Architect - Azure / AWS,Randstad Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5608610&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
"Sales Representative, Small/Medium Businesses, Google Cloud - Singapore",Google Asia Pacific Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5560449&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
Cloud Engineer,Amaris Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5363292&searchId=89523e9b-a41c-4c28-ae41-fa370f6a9ac4
